"","ALB","HP","MT.ATP6","APOA2","MT.ATP8","SAA1","MT.CO1","MT.CO2","MT.CO3","SAA2","MT.ND4","ORM1","MT.ND3","SERPINA1","FTL","APOC3","MT.ND2","MT.ND4L","APOC1","MT.CYB","APOA1","MT.ND1","CLPS","C3","FGB","FGA","CRP","RBP4","MT1G","FGG","MT.ND6","APOE","TF","B2M","REG3A","CLU","CYP2E1","TTR","FABP1","ORM2","SERPINA3","APOH","GLUL","MT2A","AMBP","APOC2","MT.ND5","FTH1","PRSS1","MT1B","MT1X","CES1","RPS27","EEF1A1","ALDOB","FGL1","PLA2G2A","HPX","RPS18","CFB","SPINK1","VTN","RPL8","TMSB4X","AHSG","NNMT","AFP","RPS19","SERPINC1","APOA4","EPHX1","TPT1","C4A","GAPDH","C4B","RPL39","RPL10","RPL37A","C1R","RPL13A","HPD","RPS24","A1BG","IL32","RPL30","GC","RPS16","ADH1B","RPS21","SERPING1","SPP1","TMSB10","MT1E","REG1A","IFI27","RPS29","HRG","RPL13","CD74","APCS","Category"
"TCGA-UB-A7MB-01A-11R-A33R-07",593956.43,92680.9,170568.48,691801.16,221968.2,33688.23,294926.33,120609.84,198667,15180.22,100719.65,104271.56,105727.15,76330.98,152662.96,443937.41,79572.48,88291.3,273275.14,81244.48,82378.63,90146.51,0,122293.5,59887.86,59063.35,44145.15,102836.01,229.72,55107.99,26614.89,202841.44,158046.64,104996.83,2.78,28923.41,9.63,106462.55,62431.08,30151.71,16843.62,95286.54,22850.48,3515.68,31650.8,77934.88,23492.92,90146.51,0,0,6121.9,29531.18,172949.54,112532.89,81809.59,19618.49,75.11,9673.69,79022.82,53230.77,5329.3,68793.23,60304.42,13033.07,38430.46,5041.77,423.61,61146.25,57051.4,2004.85,10883.59,91404.92,48982.22,63742.91,51775.15,54349.29,69271.73,77934.88,33455.53,57051.4,5147.73,43840.21,9808.75,12076.21,55491.3,104996.83,49666,32767,43537.38,27553.49,1044.52,9279.58,353.59,16.75,665.29,84694.64,35118.87,30785.28,4575.41,43537.38,1
"TCGA-CC-A9FW-01A-11R-A37K-07",513497.31,280957.98,301123.38,598087.73,318292.9,16611.71,499455.67,294926.33,450134.56,20451.65,212926.09,79022.82,153724.82,581732.96,456418.21,231394.29,209994.66,151608.43,175363.84,134755.94,179048.63,220434.95,0,195931.88,121448.75,149521.18,371.22,57051.4,80.57,102836.01,53973.86,207103.59,169390.27,43840.21,110216.97,99333,68793.23,25887.07,244588,25179.16,159145.95,38164.99,23986.58,4123.49,61571.56,103551.29,38697.77,98646.85,3.86,0,1662.49,22850.48,128373.58,164758.26,332.14,60723.88,4836.35,29327.18,73730.83,44761.41,202841.44,88291.3,70727.3,31432.17,202841.44,6164.49,79022.82,108699.57,21468.49,1295.13,19618.49,69753.56,73730.83,117311.73,71714.63,88291.3,127486.83,81244.48,32994.92,73221.53,11504.21,103551.29,25887.07,15934.98,62431.08,16727.26,61146.25,1721.16,80683.28,21919.61,10883.59,17558.94,189.02,32540.65,612.11,92680.9,80.01,56265.94,8479.89,7589.61,1
"TCGA-DD-AAEE-01A-11R-A41C-07",456418.21,200048.85,422911.59,1187913.85,334117.42,2303.12,677564.08,527933.71,394590.4,403.5,316094.29,69753.56,284880.02,194578.47,757033.75,721179.07,303217.87,254974.66,817012.28,284880.02,167058.21,190574.09,0,136637.07,75280.1,99333,743.43,313910.86,4239.45,58250.19,123144.13,338781.54,124000.67,141455.6,15392.14,48307.85,104996.83,46662.28,34635.37,26431.04,12076.21,153724.82,167058.21,16727.26,135693.24,223512.12,78476.96,126606.21,0,2.81,8022.41,111755.56,70238.75,129266.49,22850.48,10225.32,1529.73,24321.43,65082.31,29943.43,38966.94,89523.81,61571.56,25708.25,77396.54,1183.45,1216.75,38164.99,40621.74,119.26,61571.56,56265.94,16843.62,52497.92,18052.61,53230.77,53230.77,68793.23,10440.2,45072.75,42054.3,70727.3,15715.58,38164.99,82378.63,45701.96,46986.85,61999.83,44145.15,24321.43,30151.71,23009.42,9945.68,26.1,3103.19,45072.75,11424.74,52497.92,33922.56,4575.41,1
"TCGA-FV-A3R3-01A-11R-A22L-07",184082.4,172949.54,1041331.96,1116072.03,757033.75,1175.27,1412675.8,1093103.58,958220.73,441.64,783730.52,38697.77,985160.01,772940.66,459592.86,244588,751804.53,496005.67,220434.95,542775.98,191899.64,341137.96,0,277089.94,296977.71,391864.76,36864.92,102836.01,1066.48,249727.34,147462.67,226632.25,79572.48,150561.19,170.25,246289.25,1617,15499.21,26986.43,28328.16,42937.97,47642.77,8598.28,12502.12,81809.59,253213.41,113315.62,129266.49,12.55,0,4543.8,38164.99,60723.88,115696.65,72213.45,194578.47,66449.85,88291.3,49666,61571.56,423.61,139508.13,39510.91,57448.23,54727.32,6164.49,14.45,41188.81,16727.26,30999.42,46339.95,79572.48,44452.21,98646.85,42641.37,39510.91,75803.72,58655.36,14663.09,50011.46,52863.07,51062.33,3690.52,28328.16,38697.77,26986.43,26248.46,2664.15,23330.64,40062.48,15715.58,63742.91,4066.71,674.59,3349.13,45072.75,12160.22,67377.47,27745.15,15392.14,1
"TCGA-CC-A7II-01A-11R-A33J-07",3982.99,441.64,163620.18,36864.92,81244.48,102.97,143430.26,185362.8,207103.59,62.12,97288.74,1477.58,128373.58,66912.05,164758.26,67.59,58250.19,20593.91,193234.41,68318.04,8963.45,69271.73,2845004.48,87075.75,1001.93,612.11,567.1,1529.73,57847.82,551.56,21172.91,110983.6,22225.61,31870.96,8421.31,28525.2,15.56,6792.79,143.01,392.44,33224.42,1388.16,2796.65,19482.97,55877.28,2609.3,9344.14,105727.15,1041331.96,14.78,16157.44,11345.82,253213.41,296977.71,35.25,12676.65,244.57,4358.66,254974.66,1119.56,105727.15,18950.18,431797.89,35363.15,212.78,1605.83,10959.3,233003.78,7.46,2.16,679.29,100719.65,5255.91,114897.47,5006.93,162489.97,161367.56,244588,1662.49,338781.54,8.78,197294.7,351.14,17078.76,161367.56,5913.33,425853.18,12.64,327241.36,4704.07,3515.68,47974.16,19482.97,9215.48,1127.35,221968.2,1.3,218912.29,5995.9,117.6,1
"TCGA-RC-A6M6-01A-11R-A32O-07",834179.46,161367.56,212926.09,659036.03,191899.64,241.19,172949.54,164758.26,124000.67,87.03,172949.54,49666,70238.75,1775752.63,610654.84,29531.18,95949.32,95949.32,74760.09,88905.42,68318.04,87681.42,12.45,28132.47,142439.51,85876.94,83528.61,68793.23,264.03,52497.92,36357.37,33224.42,169390.27,92040.7,145.02,61999.83,1529.73,10296.45,97288.74,13776.25,23986.58,31650.8,4123.49,4358.66,37121.34,33688.23,24490.61,288856.81,42.71,0,753.83,37379.55,107203.06,149521.18,1233.75,27745.15,46.18,12502.12,76330.98,33922.56,109455.64,65535,299043.36,20170.07,18052.61,18689.27,17197.56,48307.85,3820.7,902.89,6426.31,119776.72,21617.82,102125.66,23820.89,72715.74,88905.42,107203.06,7180.15,44452.21,353.59,80125.95,19082,3540.14,104996.83,48982.22,43840.21,518.15,95949.32,23656.34,1313.23,74243.68,466.88,163.28,547.75,104996.83,320.8,93974.69,12676.65,3349.13,1
"TCGA-DD-AAVY-01A-11R-A41C-07",294926.33,334117.42,539026.74,978355,517068.97,7589.61,355624.68,746611.43,428815.23,3874.05,269512.87,71219.26,267651.2,181548.07,466008.55,164758.26,309589.14,239554.43,472513.8,177811.84,78476.96,249727.34,0,221968.2,107203.06,108699.57,156.59,187950.38,167.9,100023.92,15824.9,205673.01,66449.85,124000.67,1963.57,155870.75,6607.01,79572.48,3716.2,37639.55,41763.8,128373.58,104996.83,4268.94,120609.84,86474.27,26067.14,131982.68,0,0,4298.64,68318.04,113315.62,74243.68,12329.98,4298.64,3.89,62865.33,123144.13,107948.72,6.21,55107.99,72213.45,11424.74,28923.41,3325.99,119.26,41188.81,138544.47,60.82,113315.62,71714.63,69271.73,32767,64186.29,71714.63,107948.72,51417.5,31215.04,47642.77,51775.15,48307.85,50709.61,15180.22,67846.12,17927.91,36864.92,31870.96,34158.52,68793.23,12160.22,3768.09,206.94,208.38,2384.37,43840.21,23009.42,70727.3,4769.75,36610.26,1
"TCGA-CC-A7IE-01A-21R-A38B-07",558035.51,54727.32,919186.72,2425749.94,800198.39,633.73,794671.01,894051.48,778316.89,309.83,751804.53,45386.27,900270.11,527933.71,443937.41,358098.26,546551.29,400098.69,348306.01,440870.9,313910.86,492579.5,0,84109.6,99333,62865.33,1295.13,85876.94,713.11,46986.85,66912.05,143430.26,303217.87,79572.48,0,82951.62,23986.58,41763.8,450134.56,25354.3,80683.28,27938.14,10512.82,3212.66,88291.3,54349.29,61146.25,155870.75,0,4.21,819.3,14867.79,202841.44,322736.12,10296.45,29531.18,1135.2,8901.53,294926.33,51062.33,860.08,45701.96,260332.24,59474.18,239554.43,1199.98,162489.97,212926.09,8598.28,237.86,7130.55,182810.84,14867.79,85876.94,14867.79,269512.87,143430.26,236256.4,7803.01,191899.64,5517.27,177811.84,16383,12244.81,177811.84,16045.82,100023.92,1051.79,123144.13,20881.4,8963.45,87681.42,583.07,0,1857.6,169390.27,6840.04,140478.49,25005.23,9606.86,1
"TCGA-DD-AACX-01A-11R-A41C-07",353168.2,150561.19,711250.37,822695.06,726195.27,6079.61,1364554.84,1048575,978355,2701.35,589853.66,78476.96,482442.34,195931.88,726195.27,127486.83,360589.03,496005.67,502929.67,479109.86,34158.52,434801.29,0,93974.69,34158.52,41763.8,3540.14,90146.51,2178.83,29327.18,200048.85,204252.32,42641.37,190574.09,66.18,71714.63,14361.31,5076.84,19618.49,16960.78,4358.66,64632.75,254974.66,14971.21,65535,118949.35,141455.6,128373.58,0,0,9740.98,92040.7,107948.72,110983.6,8718.32,1651,60.39,5633.22,87075.75,11584.24,58.71,20170.07,50359.33,25179.16,64186.29,21026.65,144.01,54727.32,23820.89,14.67,39510.91,80125.95,49666,170568.48,54727.32,46986.85,76861.91,69753.56,15824.9,48982.22,40062.48,46662.28,18819.27,29736.59,44145.15,28723.62,45701.96,33922.56,55491.3,34635.37,14765.09,9151.82,1963.57,0,571.05,60304.42,214.27,74243.68,54727.32,34876.28,1
"TCGA-2Y-A9GW-01A-11R-A38B-07",1116072.03,569761.05,1005860.33,906531.99,828417.36,978355,598087.73,875652.15,971597,249727.34,619179.28,459592.86,489177,659036.03,1123834.93,209994.66,324980.94,313910.86,546551.29,440870.9,86474.27,422911.59,0,431797.89,258533.99,309589.14,226632.25,146444.06,1304.15,265802.39,225066.78,143430.26,145432.49,284880.02,28.04,175363.84,12853.63,76861.91,54727.32,30999.42,191899.64,95949.32,8479.89,5995.9,105727.15,85283.74,108699.57,162489.97,0,0,2645.74,84109.6,95949.32,85283.74,17317.18,124000.67,24660.96,70727.3,48307.85,90146.51,102125.66,105727.15,124000.67,59063.35,13492.72,29327.18,94.01,57448.23,69271.73,291.04,44452.21,106462.55,79572.48,30361.44,77396.54,87681.42,92040.7,51417.5,24832.5,52497.92,22072.07,46986.85,57051.4,82951.62,98646.85,39785.74,36610.26,5183.54,26431.04,42937.97,69271.73,31432.17,1135.2,27.84,4671.57,61146.25,18178.19,54727.32,55877.28,23492.92,1
