"","PNLIP","CELA3A","CLPS","MT.CO1","CELA3B","REG1A","MT.ATP8","MT.ATP6","MT.ND4","MT.CO2","MT.CO3","SYCN","TG","MT.ND3","MT.ND4L","MT.CYB","MT.ND2","MT.ND1","MT.ND6","CLU","CELA2A","B2M","FN1","MT.ND5","CPA1","FTH1","S100A6","CTSB","HSPA1B","EEF1A1","TMSB4X","CD74","RPS27","FTL","GNAS","GPX3","HSPA1A","MT1G","NPC2","TMSB10","TPT1","SFTPB","CALCA","TPO","HLA.B","TIMP1","RPL13","RPL37A","RPL41","INS","SLC34A2","HBA2","RPL10","RPL13A","RPS29","ACTB","APOE","RPL31","RPS24","AL590235.1","SPARC","VIM","TFF3","GP2","RPS18","SERPINA1","HBB","RPL12","RPL39","MT1X","RPS11","HLA.A","RPS6","RPL3","RPL26","RPS19","RPL28","ACTG1","RPL27A","GAPDH","DNAJB1","RPS2","RPS4X","RPS23","RPS4Y1","UBC","DPRX","RPS20","CHI3L1","RPL24","RPL34","RPS3A","S100A4","RPL7A","C3","CALR","HSP90B1","RPL8","HLA.C","ANXA1","Y"
"TCGA-DJ-A3VM-01A-11R-A23N-07",0,0,0,1825675.85,0,0,1727194.55,1336472.68,1139523.1,851707.37,906531.99,0,437825.58,542775.98,636586.81,469249.9,513497.31,414208.18,857631.47,22380.2,0,106462.55,5995.9,307450.64,28.04,107948.72,30572.63,378516.38,2104.58,198667,46662.28,15180.22,107948.72,74243.68,190574.09,26248.46,708.18,12764.83,61571.56,27745.15,138544.47,217.27,0,9740.98,9740.98,11504.21,74760.09,81809.59,87075.75,0,5041.77,5831.91,69753.56,63742.91,67377.47,34876.28,7803.01,62431.08,63742.91,0,28132.47,24321.43,406.31,0,55107.99,2520.38,6792.79,49666,56265.94,10084.54,55107.99,7589.61,51775.15,36106.23,63302.6,35363.15,46019.85,57448.23,47974.16,46339.95,733.19,38697.77,39785.74,51062.33,0,12415.75,1.77,41475.31,1295.13,46019.85,45072.75,44145.15,7331.05,53601.03,2609.3,20170.07,16383,46986.85,4512.4,5183.54,1
"TCGA-J8-A3YH-01A-11R-A22U-07",0,0,0,119776.72,0,0,165904.25,201440.3,126606.21,241220.67,193234.41,0,241220.67,208544.12,55107.99,72213.45,82378.63,41763.8,107948.72,253213.41,0,174152.51,73730.83,32092.64,8.38,100023.92,111755.56,112532.89,2555.58,280957.98,110983.6,19754.96,152662.96,67846.12,46339.95,21919.61,769.69,529.06,113315.62,77934.88,122293.5,6164.49,4.39,555.41,22072.07,49322.93,78476.96,102125.66,107203.06,0,9876.98,1277.29,94628.34,80125.95,89523.81,26067.14,60304.42,75803.72,99333,0,36357.37,51775.15,400.71,0,71714.63,28328.16,1322.37,79022.82,63302.6,4419.52,67846.12,20310.37,68318.04,67846.12,76330.98,58655.36,59887.86,44452.21,62431.08,37639.55,928.3,42346.82,48643.87,57847.82,30785.28,14663.09,2.92,56265.94,2351.53,55107.99,63742.91,67377.47,12244.81,67846.12,11267.44,18178.19,19618.49,57448.23,16045.82,40341.14,1
"TCGA-BJ-A45I-01A-11R-A23W-07",0,0,0,863596.77,0,0,839981.65,964885.69,623486.02,687022.54,736332.6,0,61999.83,554180.87,343510.77,316094.29,373305.21,253213.41,280957.98,139508.13,0,558035.51,322736.12,129266.49,0,233003.78,229795.93,148488.36,1331.57,215898.44,176583.6,104996.83,146444.06,72715.74,43236.64,46339.95,791.35,748.61,85876.94,110216.97,126606.21,57448.23,16.63,256.78,69753.56,58655.36,93325.55,110983.6,94628.34,0,34158.52,802.41,94628.34,85876.94,102836.01,70727.3,9279.58,84694.64,87681.42,0,32767,29327.18,102.97,0,85876.94,42054.3,1175.27,78476.96,74243.68,7857.29,81809.59,65990.84,75280.1,72213.45,70238.75,68318.04,68318.04,62431.08,72715.74,41475.31,1359.57,67846.12,57051.4,64186.29,0,24490.61,0,65082.31,34876.28,54727.32,63302.6,48307.85,18431.96,63742.91,28328.16,9673.69,8022.41,64632.75,47642.77,33455.53,1
"TCGA-DJ-A1QO-01A-11R-A14Y-07",0,0,0,783730.52,0,0,531605.79,649962.87,431797.89,811368.76,492579.5,0,150561.19,309589.14,160252.91,207103.59,228208.61,146444.06,214407.12,313910.86,17.9,251464.33,309589.14,80683.28,10.39,313910.86,151608.43,143430.26,2701.35,288856.81,142439.51,83528.61,100023.92,162489.97,40621.74,53230.77,2935.74,1135.2,58655.36,81244.48,111755.56,59887.86,1216.75,2485.67,35609.13,24832.5,76330.98,83528.61,90773.53,0,44452.21,2816.11,81244.48,78476.96,64632.75,64632.75,10959.3,74760.09,67846.12,0,22380.2,57051.4,197.09,0,68793.23,29327.18,2367.9,65082.31,51775.15,12160.22,66449.85,37901.36,61999.83,71219.26,65535,57051.4,53973.86,85876.94,53601.03,51417.5,1407.55,73730.83,33688.23,46019.85,34158.52,27363.16,0,48307.85,5292.48,46986.85,45072.75,48643.87,16960.78,65082.31,5594.3,11189.6,9088.59,65082.31,19214.73,25708.25,1
"TCGA-DJ-A2PW-01A-11R-A19O-07",0,0,0,290865.98,0,0,263966.36,542775.98,327241.36,469249.9,360589.03,0,76330.98,381149.17,211455.3,282912.21,179048.63,93974.69,74243.68,343510.77,0,318292.9,159145.95,59887.86,11.64,98646.85,170568.48,82378.63,3982.99,223512.12,95949.32,47642.77,129266.49,86474.27,41763.8,55491.3,3103.19,2758.13,71219.26,67377.47,106462.55,5006.93,4095,796.86,69271.73,98646.85,84109.6,89523.81,70727.3,0,16157.44,684.02,79022.82,76330.98,61146.25,48307.85,17078.76,76330.98,86474.27,0,28328.16,30785.28,221.86,0,66912.05,45701.96,607.87,77396.54,58250.19,8901.53,73730.83,36357.37,57847.82,82378.63,55107.99,71714.63,55877.28,69271.73,64186.29,45386.27,1733.13,47313.67,34635.37,53230.77,29327.18,34396.12,0,58655.36,2018.8,43840.21,59063.35,44761.41,19082,66912.05,24660.96,12764.83,12076.21,57051.4,24832.5,34158.52,1
"TCGA-J8-A3YF-01A-12R-A23N-07",0,0,0,581732.96,0,0,1355129.16,1078054.48,539026.74,619179.28,565825.41,0,214407.12,271387.49,251464.33,269512.87,269512.87,148488.36,146444.06,179048.63,0,348306.01,186652.11,53230.77,0,165904.25,141455.6,115696.65,2796.65,204252.32,201440.3,63742.91,144427.91,88905.42,54349.29,23820.89,176.29,934.76,68793.23,125731.67,131982.68,36106.23,3.32,1397.83,65535,46339.95,93325.55,101420.22,93325.55,0,36864.92,6935.54,101420.22,84109.6,82951.62,64632.75,11189.6,81244.48,78476.96,0,33922.56,33455.53,78.89,0,70727.3,30151.71,4802.93,64632.75,61146.25,3874.05,74243.68,46339.95,65082.31,65990.84,75803.72,61571.56,66912.05,70727.3,71219.26,45701.96,890.44,42346.82,36106.23,63742.91,22850.48,25530.66,0,60723.88,3168.41,50011.46,55107.99,51062.33,64632.75,68318.04,12764.83,13492.72,16727.26,57448.23,32092.64,32994.92,1
"TCGA-DJ-A2Q0-01A-11R-A206-07",0,0,0,3832885.91,0,0,1751305.3,1691649.38,1345768.59,1903204.61,1093103.58,0,2758.13,881742.8,762299.34,585779.24,506427.83,431797.89,440870.9,11345.82,0,303217.87,9279.58,221968.2,0,108699.57,42054.3,365622.68,1617,177811.84,32767,13123.73,79572.48,60304.42,180294.02,11992.79,1651,20030.74,30151.71,24490.61,92680.9,8.71,81244.48,13681.08,60723.88,2895.31,51417.5,56265.94,66912.05,0,24.46,295.11,59887.86,46662.28,60723.88,52497.92,3665.02,39785.74,60723.88,0,39785.74,24490.61,291.04,0,63742.91,575.03,567.1,25887.07,56265.94,30785.28,48307.85,46019.85,30999.42,29327.18,70238.75,32994.92,32767,55877.28,47974.16,72715.74,860.08,36610.26,29124.6,50359.33,0,26986.43,0,29943.43,198.47,32092.64,36864.92,41188.81,2434.5,25005.23,2664.15,6983.79,4419.52,38430.46,30999.42,2627.46,1
"TCGA-ET-A3DW-01A-11R-A19O-07",0,0,0,869603.57,0,0,561916.97,751804.53,585779.24,469249.9,706337.4,0,109455.64,573724.06,428815.23,279017.26,386469.83,469249.9,163620.18,334117.42,0,422911.59,209994.66,120609.84,0,239554.43,159145.95,172949.54,3039.3,280957.98,106462.55,85876.94,133825.1,59474.18,91404.92,59887.86,1662.49,1331.57,99333,88291.3,163620.18,176583.6,9.34,764.36,74760.09,38430.46,105727.15,97965.44,85876.94,0,51417.5,813.63,89523.81,83528.61,78476.96,52135.28,2855.44,90773.53,93325.55,0,13492.72,40621.74,98.04,34.51,87075.75,41475.31,555.41,61571.56,67377.47,7857.29,77396.54,44761.41,74760.09,76861.91,68793.23,48982.22,65535,63742.91,57448.23,39237.98,1111.82,53973.86,42641.37,77934.88,37379.55,17804.06,1.66,61999.83,42937.97,72213.45,61571.56,59474.18,3794.3,68793.23,16045.82,10225.32,9088.59,66912.05,40904.3,27745.15,1
"TCGA-EL-A3GR-01A-21R-A206-07",0,0,0,109455.64,0,0,251464.33,191899.64,107203.06,146444.06,142439.51,0,129266.49,134755.94,102836.01,80125.95,77396.54,35609.13,55877.28,172949.54,0,77934.88,97965.44,42641.37,0,95949.32,119776.72,70238.75,2032.85,271387.49,137587.47,21026.65,119776.72,51062.33,36357.37,45701.96,1769.57,2075.59,27363.16,71219.26,131071,32767,12.36,5403.7,9279.58,27363.16,61146.25,70238.75,78476.96,0,32994.92,5672.41,79022.82,61146.25,61999.83,49666,12676.65,61999.83,64632.75,0,34635.37,38164.99,1529.73,0,61571.56,19892.37,8078.22,52497.92,49322.93,3103.19,55491.3,12764.83,55107.99,63302.6,57847.82,47313.67,35609.13,75280.1,51417.5,28923.41,1685.71,37901.36,48982.22,49322.93,9.41,32540.65,0,42346.82,825,38966.94,44145.15,50709.61,13681.08,48982.22,15075.35,11267.44,13586.57,47313.67,4972.34,35118.87,1
"TCGA-E3-A3E0-01A-11R-A20F-07",0,0,0,60723.88,0,0,150561.19,122293.5,64632.75,97965.44,93325.55,0,383800.28,107203.06,45386.27,42937.97,46662.28,29736.59,42641.37,204252.32,0,290865.98,34158.52,18560.17,0,107203.06,73221.53,128373.58,1295.13,303217.87,102125.66,41188.81,136637.07,50359.33,71714.63,49666,2627.46,536.45,77934.88,83528.61,152662.96,10959.3,3.35,6516.03,30572.63,38697.77,76330.98,90146.51,98646.85,0,10585.95,4152.18,97965.44,83528.61,94628.34,53601.03,30785.28,83528.61,86474.27,0,34396.12,58250.19,400.71,0,91404.92,15715.58,6699.25,66912.05,70727.3,4543.8,75280.1,27174.14,77396.54,74760.09,72213.45,55877.28,50359.33,68318.04,77934.88,35363.15,1151.06,45701.96,62865.33,61146.25,18.03,30785.28,0,58655.36,1508.65,67377.47,66912.05,76861.91,6426.31,68793.23,5255.91,29124.6,23330.64,57847.82,18950.18,33688.23,1
